# name = name of planet
# star_teff = effective temperature of star [K]
# star_radius = radius of star [solar radii]
# planet_a = semimajor axis of planet's orbit [AU]
# planet_radius = radius of planet [Earth radii]

           name | star_teff | star_radius |         planet_a | planet_radius
         K2-62c |    4880.0 |        0.73 |   0.114802445616 |          2.14
         K2-63b |    6771.0 |        1.63 |   0.162653878767 |          3.22
         K2-64b |    5312.0 |        0.73 |  0.0618316063389 |          2.07
         K2-65b |    5213.0 |        0.84 |   0.101394532361 |          1.58
         K2-66b |    5958.0 |        1.71 |  0.0606703231744 |          2.49
         K2-67b |    5984.0 |        1.12 |   0.161184290915 |          17.4
         K2-68b |    4746.0 |        0.68 |  0.0707886716079 |          1.58
         K2-69b |    4127.0 |        0.49 |  0.0590302427418 |          2.32
          K2-6b |    5850.0 |        0.96 |   0.224365891817 |           2.5
         K2-70b |    5622.0 |        0.93 |   0.111223746424 |          2.89
         K2-71b |    4006.0 |        0.43 |   0.055981776211 |          2.15
         K2-72b |    3497.0 |        0.23 |  0.0371478112055 |          0.75
         K2-72c |    3497.0 |        0.23 |  0.0724373335938 |          0.86
         K2-72d |    3497.0 |        0.23 |  0.0462966930128 |          0.73
         K2-72e |    3497.0 |        0.23 |  0.0987324355917 |          0.82
         K2-73b |    5922.0 |        1.06 |  0.0761668149313 |          2.45
         K2-74b |    6060.0 |        0.98 |   0.140154049097 |          2.31
         K2-75b |    5995.0 |        1.56 |   0.080955682488 |          2.67
         K2-75c |    5995.0 |        1.56 |   0.142823289595 |          2.77
         K2-76b |    5806.0 |        1.28 |   0.163750189094 |          11.1
         K2-77b |    4970.0 |        0.76 |  0.0819744091184 |           2.3
         K2-78b |    5729.0 |        0.88 |  0.0328218492753 |          1.42
         K2-79b |    5926.0 |        1.28 |   0.098648312427 |          3.69
          K2-7b |    5772.0 |        0.96 |   0.179822991473 |          2.67
         K2-80b |    5441.0 |        0.87 |   0.134943016543 |          2.01
         K2-80c |    5441.0 |        0.87 |  0.0596077745876 |          1.47
         K2-81b |    4530.0 |        0.63 |  0.0580136953355 |          1.82
         K2-82b |    3415.0 |        0.17 |  0.0387486138109 |           2.6
         K2-83b |    3910.0 |        0.42 |  0.0300483998968 |         1.244
         K2-83c |    3910.0 |        0.42 |  0.0710969992589 |         1.483
         K2-84b |    5652.0 |        0.93 |  0.0664513568846 |          2.41
         K2-84c |    5652.0 |        0.93 |   0.176766625037 |          2.03
         K2-85b |    4268.0 |        0.51 |  0.0126006477721 |          1.01
         K2-86b |    5482.0 |        0.76 |  0.0769613153663 |          1.96
         K2-87b |    5406.0 |        0.93 |  0.0876483505722 |           4.6
         K2-88b |    3537.0 |        0.26 |  0.0346020261966 |          1.23
         K2-89b |    3691.0 |        0.32 |  0.0146580065977 |         0.615
          K2-8b |    4870.0 |        0.74 |  0.0485095839803 |          3.58
          K2-8c |    4870.0 |        0.74 |  0.0464453463641 |          2.41
         K2-90b |    4136.0 |        0.49 |  0.0924778851231 |          2.04
         K2-90c |    4136.0 |        0.49 |  0.0327993281278 |          1.02
         K2-91b |    3622.0 |        0.28 |  0.0163582905737 |           1.1
         K2-92b |    6098.0 |        1.38 |  0.0156554579194 |          2.56
         K2-95b |    3471.0 |         0.4 |  0.0464918382023 |          3.47
         K2-97b |    4790.0 |         4.2 |  0.0849938218239 |        14.684
         K2-98b |    6120.0 |        1.31 |  0.0937195492198 |           4.3
         K2-99b |    5990.0 |         3.1 |   0.159978415254 |         14.46
          K2-9b |    3390.0 |        0.31 |  0.0379047956864 |          2.25
       KELT-10b |    5948.0 |        1.21 |   0.052542286026 |        15.681
       KELT-11b |    5370.0 |        2.72 |  0.0623436953558 |        15.356
       KELT-12b |    6279.0 |        2.37 |  0.0669928791761 |        19.952
       KELT-14b |    5720.0 |        1.52 |  0.0300195939599 |        19.537
       KELT-15b |    6003.0 |        1.48 |  0.0461013067614 |        16.175
       KELT-16b |    6236.0 |        1.36 |  0.0204229346855 |        15.861
       KELT-17b |    7454.0 |        1.65 |  0.0489419580756 |        17.094
       KELT-18b |    6670.0 |        1.91 |  0.0456251373546 |        17.598
        KELT-1b |    6518.0 |        1.46 |  0.0244725343391 |        12.442
      KELT-2 Ab |    6151.0 |        1.83 |  0.0549655091716 |        14.415
        KELT-3b |    6306.0 |        1.47 |  0.0411424872988 |        15.076
      KELT-4 Ab |    6206.0 |         1.6 |  0.0430849162989 |        19.044
        KELT-6b |    6272.0 |        1.53 |  0.0804664032045 |        13.227
        KELT-7b |    6789.0 |        1.73 |  0.0441565531694 |        17.183
        KELT-8b |    5754.0 |        1.67 |  0.0458084081808 |        20.849
        KELT-9b |   10170.0 |        2.36 |  0.0345949487411 |        21.196
  KIC 10525077b |    6091.0 |        1.01 |    1.12367518506 |           5.5
   KIC 3558849b |    6175.0 |        1.01 |    2.70799615222 |           6.9
   KIC 5437945b |    6340.0 |        1.24 |   0.916056583204 |           6.4
   KIC 5437945c |    6340.0 |        1.24 |   0.729602281621 |          5.52
   KIC 5951458b |    6258.0 |        1.52 |    1.96526579102 |           6.6
   KIC 9663113b |    6065.0 |        1.03 |   0.735059207898 |           4.6
   KIC 9663113c |    6065.0 |        1.03 |   0.146709021324 |           4.2
        KOI-12b |    6820.0 |        1.63 |    0.15156339254 |        16.029
        KOI-13b |    7650.0 |        1.74 |  0.0364087720183 |        16.948
       KOI-142b |    5471.0 |        0.88 |   0.101463787693 |          3.78
       KOI-217b |    5545.0 |        0.86 |  0.0476982506321 |        12.442
       KOI-351b |    6080.0 |         1.2 |  0.0736430717125 |          1.31
       KOI-351c |    6080.0 |         1.2 |  0.0892643293485 |          1.19
       KOI-351d |    6080.0 |         1.2 |   0.312983054778 |          2.87
       KOI-351e |    6080.0 |         1.2 |   0.416752837646 |          2.66
       KOI-351f |    6080.0 |         1.2 |   0.482027378482 |          2.88
       KOI-351g |    6080.0 |         1.2 |   0.710209320379 |           8.1
       KOI-351h |    6080.0 |         1.2 |    1.00812901958 |          11.3
      KOI-7892b |    6474.0 |        1.26 |   0.203271614988 |           4.1
      KOI-7892c |    6474.0 |        1.26 |   0.608643250642 |           2.4
        KOI-94b |    6182.0 |        1.52 |   0.051234005699 |          1.71
        KOI-94c |    6182.0 |        1.52 |   0.101054659517 |          4.32
        KOI-94d |    6182.0 |        1.52 |   0.168188873881 |         11.27
        KOI-94e |    6182.0 |        1.52 |   0.304577330431 |          6.56
   Kepler-1000b |    6453.0 |        1.51 |   0.532572702611 |          4.76
   Kepler-1001b |    5491.0 |        0.88 |   0.111321785531 |          3.15
   Kepler-1002b |    6144.0 |        1.57 |  0.0555963720606 |          1.71
   Kepler-1003b |    6109.0 |        1.17 |  0.0471875471259 |          1.78
   Kepler-1004b |    4972.0 |        3.39 |  0.0614895562626 |          6.28
   Kepler-1005b |    5782.0 |        1.06 |  0.0681332038089 |           1.5
   Kepler-1006b |    5328.0 |        0.74 |   0.131649645823 |          1.54
   Kepler-1007b |    4587.0 |         0.7 |  0.0527770651857 |          1.44
   Kepler-1008b |    5066.0 |        0.78 |  0.0979183843126 |          1.28
   Kepler-1009b |    4027.0 |        0.57 |  0.0828811837239 |          2.17
    Kepler-100b |    5825.0 |        1.49 |  0.0726666383157 |          1.32
    Kepler-100c |    5825.0 |        1.49 |   0.109937448195 |           2.2
    Kepler-100d |    5825.0 |        1.49 |   0.216156055793 |          1.61
   Kepler-1010b |    5253.0 |        0.82 |   0.196306706266 |          2.32
   Kepler-1011b |    5416.0 |        0.88 |  0.0608778834104 |          2.87
   Kepler-1012b |    5556.0 |        0.91 |  0.0599939216121 |          1.29
   Kepler-1013b |    4954.0 |        0.76 |   0.129551411255 |          2.15
   Kepler-1014b |    5388.0 |        0.84 |   0.121870943449 |          2.39
   Kepler-1015b |    6769.0 |        1.81 |   0.141928568369 |          3.55
   Kepler-1016b |    5821.0 |         1.0 |  0.0304843856586 |          2.18
   Kepler-1016c |    5821.0 |         1.0 |   0.435823325178 |          3.68
   Kepler-1017b |    5473.0 |        0.87 |  0.0714362256573 |          1.99
   Kepler-1018b |    5518.0 |        0.88 |   0.254242268293 |          2.58
   Kepler-1019b |    4433.0 |        0.67 |  0.0218576185696 |          1.46
    Kepler-101b |    5667.0 |        1.56 |  0.0475053602752 |          5.77
    Kepler-101c |    5667.0 |        1.56 |  0.0580218140765 |          1.25
   Kepler-1020b |    5227.0 |         0.8 |   0.394099476668 |          2.28
   Kepler-1021b |    5431.0 |        0.86 |   0.106573110187 |          2.33
   Kepler-1022b |    4445.0 |        0.68 |  0.0863071283713 |          2.36
   Kepler-1023b |    5494.0 |        0.89 |   0.299622496251 |          2.63
   Kepler-1024b |    5143.0 |        0.78 |   0.299122724002 |          3.91
   Kepler-1025b |    6089.0 |        1.13 |   0.224887057926 |          1.98
   Kepler-1026b |    4948.0 |        0.75 |   0.199082472952 |          2.21
   Kepler-1027b |    5436.0 |        0.82 |  0.0291658615494 |          0.89
   Kepler-1028b |    5522.0 |        0.87 |  0.0349328944055 |          1.33
   Kepler-1029b |    5030.0 |        0.77 |  0.0493068048467 |          1.26
    Kepler-102b |    4909.0 |        0.76 |  0.0553525139031 |          0.47
    Kepler-102c |    4909.0 |        0.76 |    0.06719512326 |          0.58
    Kepler-102d |    4909.0 |        0.76 |  0.0864079124318 |          1.18
    Kepler-102e |    4909.0 |        0.76 |    0.11651215966 |          2.22
    Kepler-102f |    4909.0 |        0.76 |   0.165983990349 |          0.88
   Kepler-1030b |    4983.0 |        0.76 |   0.130822496122 |          2.48
   Kepler-1031b |    6011.0 |        1.12 |  0.0230688240725 |          0.87
   Kepler-1032b |    4647.0 |        0.71 |   0.039671280043 |          1.87
   Kepler-1033b |    5547.0 |        0.92 |   0.073832747723 |          2.51
   Kepler-1034b |    5198.0 |         0.8 |  0.0970424758288 |          2.26
   Kepler-1035b |    5763.0 |        0.97 |  0.0378148040241 |          1.17
   Kepler-1036b |    5533.0 |        0.89 |   0.475410638371 |          3.01
   Kepler-1037b |    5105.0 |        0.78 |  0.0190844589214 |          1.28
   Kepler-1038b |    5335.0 |        0.83 |   0.523702975654 |          3.53
   Kepler-1039b |    4870.0 |        0.74 |  0.0172936201863 |          1.46
    Kepler-103b |    5845.0 |        1.44 |   0.127673381838 |          3.37
    Kepler-103c |    5845.0 |        1.44 |   0.641018738977 |          5.14
   Kepler-1040b |    5694.0 |        0.96 |   0.667143421352 |          2.08
   Kepler-1041b |    5957.0 |        1.08 |   0.169464916646 |          2.94
   Kepler-1042b |    4815.0 |        0.72 |  0.0832382494189 |          2.19
   Kepler-1043b |    5629.0 |         0.9 |   0.216994258516 |          2.55
   Kepler-1044b |    5985.0 |        1.11 |   0.071869865253 |          2.67
   Kepler-1045b |    5301.0 |        0.82 |    0.16501435664 |          2.69
   Kepler-1046b |    5913.0 |        1.04 |   0.117198744865 |          1.71
   Kepler-1047b |    5754.0 |        1.13 |   0.294495622327 |          2.09
   Kepler-1047c |    5754.0 |        1.13 |  0.0434924373847 |          0.99
   Kepler-1048b |    4651.0 |         0.7 |  0.0645612219048 |          1.61
   Kepler-1049b |    3864.0 |        0.49 |   0.034464063098 |          0.95
    Kepler-104b |    5711.0 |        1.35 |  0.0925341491604 |           3.1
