# These data come from 
# wavelength = in micron
# albedo = reflectivity at this wavelength
#
wavelength |       albedo
       1.1 |   0.57778865
     1.101 |   0.57704639
     1.102 |    0.5762493
     1.103 |   0.57537544
     1.104 |   0.57447577
     1.105 |   0.57360846
 1.1059999 |   0.57280171
     1.107 |   0.57200831
     1.108 |   0.57117331
     1.109 |   0.57026547
      1.11 |   0.56930989
 1.1109999 |   0.56833959
     1.112 |   0.56737328
     1.113 |   0.56640071
     1.114 |   0.56540638
     1.115 |   0.56437922
 1.1160001 |   0.56331867
     1.117 |   0.56222719
     1.118 |   0.56110561
     1.119 |   0.55996025
      1.12 |   0.55879647
 1.1210001 |   0.55761182
     1.122 |   0.55638474
     1.123 |    0.5550918
     1.124 |   0.55371338
     1.125 |   0.55223721
     1.126 |   0.55065227
     1.127 |   0.54895175
     1.128 |   0.54713511
 1.1289999 |   0.54520327
      1.13 |   0.54315996
     1.131 |   0.54101491
     1.132 |   0.53877914
     1.133 |   0.53645056
 1.1339999 |   0.53399688
     1.135 |   0.53138179
     1.136 |   0.52858973
     1.137 |   0.52565074
     1.138 |   0.52259934
 1.1390001 |   0.51946181
      1.14 |   0.51624686
     1.141 |   0.51296049
     1.142 |     0.509606
     1.143 |   0.50617981
 1.1440001 |   0.50268131
     1.145 |   0.49911299
     1.146 |   0.49549791
     1.147 |   0.49186033
     1.148 |   0.48821867
     1.149 |   0.48458505
      1.15 |   0.48096758
     1.151 |    0.4773581
     1.152 |   0.47371283
     1.153 |   0.46998203
     1.154 |    0.4661456
     1.155 |   0.46224999
     1.156 |   0.45835054
 1.1569999 |   0.45448193
     1.158 |   0.45063481
     1.159 |   0.44679427
      1.16 |   0.44294828
     1.161 |   0.43909422
 1.1619999 |   0.43523136
     1.163 |   0.43135795
     1.164 |   0.42747691
     1.165 |   0.42358899
     1.166 |   0.41970015
 1.1670001 |   0.41582009
     1.168 |   0.41196057
     1.169 |   0.40812457
      1.17 |   0.40429324
     1.171 |   0.40044862
 1.1720001 |   0.39658165
     1.173 |    0.3927055
     1.174 |   0.38883865
     1.175 |   0.38499665
     1.176 |   0.38119468
     1.177 |   0.37744743
     1.178 |   0.37376019
     1.179 |   0.37012184
 1.1799999 |   0.36651605
     1.181 |   0.36293307
     1.182 |   0.35937056
     1.183 |   0.35582694
     1.184 |   0.35230681
 1.1849999 |   0.34882483
     1.186 |   0.34539911
     1.187 |   0.34204301
     1.188 |   0.33876035
     1.189 |    0.3355552
 1.1900001 |   0.33242387
     1.191 |   0.32935199
     1.192 |    0.3263227
     1.193 |   0.32332695
     1.194 |   0.32037517
 1.1950001 |   0.31747881
     1.196 |   0.31464452
     1.197 |   0.31186813
     1.198 |   0.30914146
     1.199 |   0.30646524
       1.2 |    0.3038516
     1.201 |   0.30131665
     1.202 |   0.29886425
 1.2029999 |   0.29647353
     1.204 |   0.29412159
     1.205 |   0.29179725
     1.206 |   0.28952193
     1.207 |    0.2873207
 1.2079999 |    0.2852084
     1.209 |   0.28317893
      1.21 |   0.28122282
     1.211 |   0.27933487
     1.212 |   0.27751818
 1.2130001 |   0.27577588
     1.214 |   0.27410582
     1.215 |   0.27249026
     1.216 |   0.27091005
     1.217 |   0.26935923
 1.2180001 |   0.26786238
     1.219 |   0.26644892
      1.22 |   0.26513386
     1.221 |   0.26390335
     1.222 |   0.26273975
     1.223 |   0.26162806
     1.224 |   0.26056337
     1.225 |   0.25954056
     1.226 |   0.25855431
     1.227 |   0.25759706
     1.228 |   0.25666091
     1.229 |   0.25574684
      1.23 |   0.25487334
 1.2309999 |   0.25406215
     1.232 |   0.25332505
     1.233 |   0.25264934
     1.234 |   0.25201949
     1.235 |   0.25142172
 1.2359999 |    0.2508454
     1.237 |   0.25028038
     1.238 |   0.24972466
     1.239 |    0.2491942
      1.24 |   0.24870697
 1.2410001 |    0.2482744
     1.242 |   0.24789153
     1.243 |   0.24755132
     1.244 |    0.2472481
     1.245 |   0.24697742
 1.2460001 |   0.24673583
     1.247 |   0.24652113
     1.248 |   0.24633561
