 pressure | temperature |   density | altitude
  0.04374 |       122.6 |  0.009915 |   60.001
  0.04447 |       121.8 |   0.01015 |   59.685
  0.04522 |       120.2 |   0.01046 |   59.372
  0.04599 |       119.3 |   0.01071 |   59.062
  0.04676 |       118.5 |   0.01097 |   58.755
  0.04754 |       118.5 |   0.01115 |    58.45
  0.04833 |       117.6 |   0.01142 |   58.149
  0.04914 |       115.7 |    0.0118 |   57.849
  0.04996 |       115.1 |   0.01206 |   57.552
   0.0508 |       114.7 |    0.0123 |   57.258
  0.05164 |       114.6 |   0.01252 |   56.965
   0.0525 |       113.4 |   0.01287 |   56.674
  0.05338 |       110.8 |   0.01339 |   56.385
  0.05428 |       111.1 |   0.01358 |   56.098
  0.05519 |       110.3 |   0.01391 |   55.812
  0.05612 |       111.4 |     0.014 |   55.528
  0.05705 |       111.4 |   0.01423 |   55.245
  0.05798 |       113.5 |   0.01419 |   54.962
  0.05892 |       112.5 |   0.01456 |   54.681
  0.05988 |       110.4 |   0.01507 |     54.4
  0.06088 |       108.8 |   0.01555 |    54.12
  0.06187 |       113.9 |    0.0151 |    53.84
  0.06286 |       114.1 |   0.01531 |    53.56
  0.06386 |       113.7 |   0.01561 |    53.28
  0.06488 |       115.2 |   0.01565 |   53.001
  0.06591 |       113.9 |   0.01608 |    52.72
  0.06697 |       113.8 |   0.01635 |    52.44
  0.06804 |       114.1 |   0.01656 |   52.159
  0.06914 |       111.9 |   0.01717 |   51.878
  0.07027 |       113.8 |   0.01715 |   51.596
  0.07142 |       111.2 |   0.01785 |   51.313
  0.07259 |       113.3 |    0.0178 |    51.03
  0.07377 |       114.0 |   0.01798 |   50.745
  0.07497 |       114.5 |    0.0182 |    50.46
   0.0762 |       113.0 |   0.01874 |   50.174
  0.07745 |       114.4 |   0.01881 |   49.887
  0.07872 |       113.8 |   0.01922 |   49.599
  0.08002 |       114.3 |   0.01945 |    49.31
  0.08134 |       114.6 |   0.01972 |    49.02
   0.0827 |       112.6 |   0.02042 |   48.729
   0.0841 |       112.8 |   0.02072 |   48.437
  0.08551 |       115.4 |   0.02058 |   48.143
   0.0869 |       119.1 |   0.02027 |   47.848
  0.08836 |       112.9 |   0.02175 |   47.551
  0.08989 |       113.3 |   0.02204 |   47.251
  0.09142 |       117.0 |   0.02171 |   46.949
  0.09301 |       111.3 |   0.02322 |   46.645
  0.09465 |       115.3 |   0.02281 |   46.338
  0.09631 |       115.0 |   0.02328 |   46.029
  0.09804 |       111.0 |   0.02454 |   45.718
  0.09983 |       112.6 |   0.02464 |   45.404
   0.1016 |       113.6 |   0.02486 |   45.088
   0.1035 |       119.0 |   0.02416 |   44.771
   0.1053 |       113.9 |   0.02569 |   44.451
   0.1073 |       111.9 |   0.02663 |    44.13
   0.1093 |       112.6 |   0.02697 |   43.806
   0.1113 |       111.8 |   0.02767 |   43.482
   0.1135 |       110.5 |   0.02853 |   43.156
   0.1156 |       113.4 |   0.02832 |   42.829
   0.1178 |       114.5 |   0.02859 |     42.5
     0.12 |       114.8 |   0.02904 |   42.171
   0.1223 |       114.6 |   0.02964 |    41.84
   0.1246 |       114.7 |   0.03019 |   41.509
    0.127 |       111.6 |    0.0316 |   41.176
   0.1294 |       112.2 |   0.03206 |   40.843
   0.1319 |       112.0 |   0.03272 |   40.509
   0.1345 |       113.0 |   0.03308 |   40.175
   0.1371 |       113.4 |   0.03359 |   39.841
   0.1397 |       114.1 |   0.03401 |   39.506
   0.1424 |       114.6 |   0.03452 |   39.172
   0.1452 |       108.7 |   0.03712 |   38.836
    0.148 |       116.1 |    0.0354 |   38.502
   0.1508 |       110.7 |   0.03787 |   38.167
   0.1537 |       117.0 |   0.03653 |   37.832
   0.1567 |       111.3 |   0.03912 |   37.498
