  pressure | temperature |    density | altitude
8.7588e-05 |      169.54 | 0.00027022 |   42.312
 8.988e-05 |     169.223 |  0.0002778 |   42.082
9.2217e-05 |     169.623 | 0.00028435 |   41.853
9.4595e-05 |     170.116 | 0.00029084 |   41.625
9.7017e-05 |     169.926 | 0.00029862 |   41.399
9.9486e-05 |     170.252 | 0.00030564 |   41.174
0.00010199 |     171.608 | 0.00031085 |    40.95
0.00010453 |     171.538 | 0.00031873 |   40.728
0.00010713 |     171.086 |  0.0003275 |   40.507
0.00010977 |     171.379 | 0.00033501 |   40.288
0.00011245 |     171.977 |   0.000342 |    40.07
0.00011518 |     172.318 | 0.00034959 |   39.853
0.00011794 |     172.746 |  0.0003571 |   39.638
0.00012075 |     173.706 | 0.00036357 |   39.424
0.00012358 |      174.17 | 0.00037113 |   39.211
0.00012646 |     174.938 |  0.0003781 |     39.0
0.00012938 |     175.036 | 0.00038661 |    38.79
0.00013234 |     175.182 | 0.00039513 |   38.582
0.00013535 |     175.265 | 0.00040391 |   38.375
0.00013841 |     174.805 | 0.00041413 |   38.169
0.00014152 |     174.133 | 0.00042509 |   37.965
 0.0001447 |     173.798 | 0.00043546 |   37.763
0.00014793 |     172.816 | 0.00044772 |   37.562
0.00015123 |     172.361 |  0.0004589 |   37.362
0.00015457 |     172.637 | 0.00046831 |   37.164
0.00015797 |     172.467 | 0.00047906 |   36.967
0.00016142 |     172.057 | 0.00049069 |   36.771
0.00016492 |     171.905 | 0.00050179 |   36.578
0.00016847 |     172.126 | 0.00051194 |   36.385
0.00017208 |     171.777 | 0.00052395 |   36.194
0.00017573 |     171.443 | 0.00053613 |   36.005
0.00017944 |      171.61 | 0.00054691 |   35.817
0.00018319 |     172.025 |   0.000557 |    35.63
0.00018699 |     172.105 | 0.00056827 |   35.445
0.00019083 |     172.159 | 0.00057975 |   35.262
0.00019471 |     172.265 |  0.0005912 |    35.08
0.00019865 |     171.976 | 0.00060415 |   34.899
0.00020263 |     171.975 | 0.00061627 |    34.72
0.00020666 |     171.845 | 0.00062901 |   34.543
0.00021074 |     171.806 | 0.00064158 |   34.366
0.00021487 |     171.835 | 0.00065403 |   34.192
0.00021904 |     171.893 | 0.00066649 |   34.019
0.00022325 |     171.924 | 0.00067919 |   33.847
0.00022751 |     172.108 |  0.0006914 |   33.677
 0.0002318 |     172.232 | 0.00070395 |   33.508
0.00023614 |      172.36 | 0.00071658 |   33.341
0.00024051 |      172.68 | 0.00072849 |   33.175
0.00024491 |     173.031 | 0.00074033 |   33.011
0.00024935 |     173.472 | 0.00075182 |   32.848
0.00025382 |     174.023 | 0.00076286 |   32.686
0.00025831 |     174.371 | 0.00077481 |   32.526
0.00026282 |     175.095 | 0.00078511 |   32.368
0.00026736 |     175.757 | 0.00079565 |    32.21
0.00027192 |     176.202 | 0.00080718 |   32.055
 0.0002765 |     176.921 | 0.00081744 |     31.9
 0.0002811 |     177.576 | 0.00082797 |   31.747
0.00028572 |     178.032 | 0.00083942 |   31.595
0.00029036 |     178.483 |  0.0008509 |   31.445
0.00029502 |     179.052 | 0.00086181 |   31.296
0.00029971 |     179.417 | 0.00087371 |   31.148
0.00030441 |     179.986 | 0.00088461 |   31.002
0.00030913 |     180.224 | 0.00089714 |   30.857
0.00031387 |     180.583 | 0.00090909 |   30.713
0.00031864 |     180.672 | 0.00092245 |   30.571
0.00032343 |     180.937 | 0.00093494 |    30.43
0.00032824 |     180.936 | 0.00094887 |    30.29
0.00033308 |     181.261 | 0.00096114 |   30.151
0.00033794 |     181.725 | 0.00097265 |   30.014
0.00034281 |     182.062 | 0.00098484 |   29.878
 0.0003477 |     182.215 | 0.00099805 |   29.743
0.00035261 |     182.419 |   0.001011 |    29.61
0.00035754 |       182.5 |  0.0010247 |   29.477
0.00036249 |     182.359 |  0.0010397 |   29.346
0.00036747 |     182.629 |  0.0010524 |   29.216
0.00037246 |     182.865 |  0.0010653 |   29.087
0.00037747 |     182.918 |  0.0010794 |   28.959
 0.0003825 |      182.84 |  0.0010942 |   28.833
0.00038756 |     182.887 |  0.0011084 |   28.707
0.00039263 |     182.715 |   0.001124 |   28.583
0.00039774 |     182.359 |  0.0011408 |    28.46
0.00040287 |      181.96 |   0.001158 |   28.338
0.00040803 |     181.905 |  0.0011732 |   28.217
0.00041321 |     181.734 |  0.0011892 |   28.097
 0.0004184 |     182.189 |  0.0012012 |   27.978
 0.0004236 |     182.528 |  0.0012139 |   27.861
0.00042881 |     183.145 |  0.0012246 |   27.744
0.00043401 |     183.583 |  0.0012365 |   27.629
0.00043923 |     183.733 |  0.0012504 |   27.514
0.00044445 |     183.652 |  0.0012658 |   27.401
 0.0004497 |     183.628 |  0.0012809 |   27.288
0.00045495 |     183.934 |  0.0012937 |   27.177
0.00046021 |     184.238 |  0.0013065 |   27.066
0.00046548 |     184.407 |  0.0013203 |   26.957
0.00047075 |     184.758 |  0.0013327 |   26.848
0.00047603 |     185.086 |  0.0013452 |   26.741
0.00048131 |     185.597 |  0.0013564 |   26.634
0.00048658 |     185.809 |  0.0013697 |   26.529
0.00049187 |     186.069 |  0.0013826 |   26.424
0.00049716 |     186.317 |  0.0013956 |    26.32
0.00050245 |     186.117 |   0.001412 |   26.217
0.00050777 |     185.507 |  0.0014317 |   26.115
0.00051312 |     185.248 |  0.0014488 |   26.014
0.00051847 |     185.239 |   0.001464 |   25.913
0.00052384 |     185.625 |   0.001476 |   25.814
0.00052922 |     184.761 |  0.0014982 |   25.715
0.00053463 |     183.981 |  0.0015199 |   25.617
0.00054007 |     183.217 |  0.0015418 |    25.52
0.00054554 |      182.86 |  0.0015604 |   25.424
0.00055103 |     182.704 |  0.0015775 |   25.329
0.00055653 |     182.531 |  0.0015947 |   25.234
0.00056203 |     183.102 |  0.0016055 |    25.14
0.00056754 |     182.945 |  0.0016226 |   25.047
0.00057305 |     182.912 |  0.0016387 |   24.955
0.00057857 |     183.232 |  0.0016515 |   24.864
0.00058409 |     183.183 |  0.0016677 |   24.773
0.00058961 |     183.858 |  0.0016773 |   24.683
0.00059513 |     183.815 |  0.0016934 |   24.594
0.00060065 |     184.082 |  0.0017067 |   24.505
0.00060617 |     184.046 |  0.0017227 |   24.417
 0.0006117 |     184.237 |  0.0017366 |    24.33
0.00061723 |     184.769 |  0.0017472 |   24.244
0.00062275 |     184.757 |   0.001763 |   24.158
0.00062827 |     185.628 |  0.0017703 |   24.073
0.00063378 |     185.346 |  0.0017885 |   23.988
0.00063929 |     186.098 |  0.0017968 |   23.905
 0.0006448 |     186.176 |  0.0018115 |   23.821
0.00065032 |     185.707 |  0.0018316 |   23.739
0.00065585 |     185.844 |  0.0018458 |   23.657
0.00066139 |     185.304 |  0.0018668 |   23.576
0.00066693 |     186.001 |  0.0018754 |   23.495
0.00067247 |     185.816 |  0.0018929 |   23.415
0.00067802 |     185.844 |  0.0019082 |   23.335
0.00068357 |     185.871 |  0.0019236 |   23.256
0.00068913 |      185.67 |  0.0019413 |   23.178
0.00069469 |      186.62 |   0.001947 |     23.1
0.00070024 |     186.019 |  0.0019689 |   23.023
0.00070581 |     186.046 |  0.0019843 |   22.946
0.00071138 |     185.996 |  0.0020005 |    22.87
0.00071696 |     185.881 |  0.0020174 |   22.794
0.00072254 |      186.51 |  0.0020263 |   22.719
0.00072813 |     185.863 |   0.002049 |   22.645
0.00073372 |     185.893 |  0.0020645 |    22.57
0.00073933 |     185.685 |  0.0020826 |   22.497
0.00074494 |      185.93 |  0.0020956 |   22.424
0.00075055 |     185.993 |  0.0021107 |   22.351
0.00075617 |       185.8 |  0.0021287 |   22.279
0.00076179 |     186.196 |  0.0021399 |   22.207
0.00076741 |     186.191 |  0.0021558 |   22.136
0.00077303 |     186.602 |  0.0021668 |   22.065
0.00077864 |     187.196 |  0.0021756 |   21.995
0.00078424 |     187.068 |  0.0021927 |   21.925
0.00078986 |     187.247 |  0.0022063 |   21.856
0.00079547 |     187.397 |  0.0022202 |   21.787
0.00080108 |     187.671 |  0.0022326 |   21.718
0.00080668 |     188.042 |  0.0022438 |    21.65
 0.0008123 |     187.316 |  0.0022682 |   21.582
0.00081793 |     187.878 |  0.0022771 |   21.515
0.00082355 |     188.055 |  0.0022905 |   21.448
0.00082917 |     188.349 |  0.0023026 |   21.381
0.00083478 |     188.637 |  0.0023146 |   21.315
0.00084041 |     188.367 |  0.0023336 |   21.249
0.00084603 |     188.635 |  0.0023459 |   21.184
0.00085167 |     188.176 |  0.0023672 |   21.119
0.00085731 |     188.575 |  0.0023779 |   21.054
0.00086295 |     189.254 |  0.0023849 |    20.99
0.00086858 |     188.779 |  0.0024065 |   20.926
0.00087423 |     189.058 |  0.0024186 |   20.862
0.00087988 |     189.199 |  0.0024324 |   20.799
0.00088553 |     188.731 |  0.0024541 |   20.736
0.00089119 |     189.712 |   0.002457 |   20.673
0.00089684 |     189.638 |  0.0024736 |   20.611
 0.0009025 |     189.295 |  0.0024937 |   20.549
0.00090817 |     189.929 |   0.002501 |   20.487
0.00091384 |     189.308 |  0.0025248 |   20.426
0.00091951 |     190.465 |  0.0025251 |   20.365
0.00092517 |     190.405 |  0.0025414 |   20.304
0.00093084 |     190.136 |  0.0025606 |   20.243
0.00093652 |      190.54 |  0.0025708 |   20.183
0.00094221 |     190.245 |  0.0025904 |   20.123
 0.0009479 |     190.836 |   0.002598 |   20.064
0.00095357 |     191.562 |  0.0026036 |   20.004
0.00095925 |     191.418 |  0.0026211 |   19.945
0.00096493 |     191.375 |  0.0026372 |   19.886
0.00097062 |     191.882 |  0.0026458 |   19.828
0.00097632 |     191.221 |  0.0026705 |    19.77
0.00098202 |     192.231 |   0.002672 |   19.712
0.00098771 |     192.104 |  0.0026892 |   19.654
0.00099342 |     191.736 |    0.00271 |   19.596
0.00099913 |     192.494 |  0.0027148 |   19.539
 0.0010049 |     191.528 |  0.0027442 |   19.482
 0.0010106 |     191.545 |  0.0027596 |   19.425
 0.0010164 |     192.209 |  0.0027657 |   19.369
 0.0010221 |     192.072 |  0.0027833 |   19.313
 0.0010279 |     191.585 |  0.0028062 |   19.256
 0.0010336 |     192.051 |  0.0028151 |   19.201
 0.0010394 |     191.545 |  0.0028383 |   19.145
 0.0010452 |     192.233 |  0.0028439 |    19.09
  0.001051 |     192.114 |  0.0028614 |   19.034
 0.0010568 |     191.704 |  0.0028834 |   18.979
 0.0010627 |     191.718 |  0.0028991 |   18.925
 0.0010685 |     192.182 |   0.002908 |    18.87
 0.0010743 |     191.654 |  0.0029319 |   18.816
 0.0010802 |     192.384 |  0.0029367 |   18.762
  0.001086 |     191.985 |  0.0029587 |   18.708
 0.0010919 |     191.991 |  0.0029746 |   18.654
 0.0010978 |     191.484 |  0.0029986 |     18.6
 0.0011037 |      191.68 |  0.0030116 |   18.547
 0.0011096 |     191.805 |  0.0030258 |   18.494
 0.0011155 |      192.38 |  0.0030328 |   18.441
 0.0011214 |     192.578 |  0.0030457 |   18.388
 0.0011273 |     192.159 |  0.0030684 |   18.336
 0.0011332 |     192.611 |  0.0030774 |   18.283
 0.0011392 |     192.712 |  0.0030918 |   18.231
 0.0011451 |     192.973 |  0.0031038 |   18.179
  0.001151 |     194.031 |  0.0031028 |   18.127
  0.001157 |     193.851 |  0.0031217 |   18.075
